,title,company
0,Junior Python Developer with Django,Strypes
1,Junior Python Developer,Accedia
2,Intern/Junior Python/Django Web Developer,Pytek
3,Junior Python Developer in QA,HedgeServ
4,Junior Python Developer,TelebidPro
5,Junior Python Developer,Strypes
6,Junior Machine Learning Engineer with Python,A1 Bulgaria
7,[IT] PYTHON BACKEND DEV | JUNIOR / MID,Human Power
8,Junior Data Modeller with Python,Experian
9,Senior Automation QA with Java/ C#/ TypeScript/ Python,MentorMate
10,SENIOR PYTHON / JAVA FULLSTACK SOFTWARE ENGINEER,Schwarz IT Bulgaria
11,Junior Quantitative Developer,Commerzbank Digital Technology Center
12,SENIOR PYTHON DEVELOPER,Schwarz IT Bulgaria
13,Intern/junior front-end,Pytek
14,Junior Python Developer with Django,Strypes
15,Junior Python Developer,Accedia
16,Intern/Junior Python/Django Web Developer,Pytek
17,Junior Python Developer in QA,HedgeServ
18,Junior Python Developer,TelebidPro
19,Junior Python Developer,Strypes
20,Junior Machine Learning Engineer with Python,A1 Bulgaria
21,[IT] PYTHON BACKEND DEV | JUNIOR / MID,Human Power
22,Junior Data Modeller with Python,Experian
23,Senior Automation QA with Java/ C#/ TypeScript/ Python,MentorMate
24,SENIOR PYTHON / JAVA FULLSTACK SOFTWARE ENGINEER,Schwarz IT Bulgaria
25,Junior Quantitative Developer,Commerzbank Digital Technology Center
26,SENIOR PYTHON DEVELOPER,Schwarz IT Bulgaria
27,Intern/junior front-end,Pytek
28,Junior Python Developer with Django,Strypes
29,Junior Python Developer,Accedia
30,Intern/Junior Python/Django Web Developer,Pytek
31,Junior Python Developer in QA,HedgeServ
32,Junior Python Developer,TelebidPro
33,Junior Python Developer,Strypes
34,Junior Machine Learning Engineer with Python,A1 Bulgaria
35,[IT] PYTHON BACKEND DEV | JUNIOR / MID,Human Power
36,Junior Data Modeller with Python,Experian
37,Senior Automation QA with Java/ C#/ TypeScript/ Python,MentorMate
38,SENIOR PYTHON / JAVA FULLSTACK SOFTWARE ENGINEER,Schwarz IT Bulgaria
39,Junior Quantitative Developer,Commerzbank Digital Technology Center
40,SENIOR PYTHON DEVELOPER,Schwarz IT Bulgaria
41,Intern/junior front-end,Pytek
42,Junior Python Developer with Django,Strypes
43,Junior Python Developer,Accedia
44,Intern/Junior Python/Django Web Developer,Pytek
45,Junior Python Developer in QA,HedgeServ
46,Junior Python Developer,TelebidPro
47,Junior Python Developer,Strypes
48,Junior Machine Learning Engineer with Python,A1 Bulgaria
49,[IT] PYTHON BACKEND DEV | JUNIOR / MID,Human Power
50,Junior Data Modeller with Python,Experian
51,Senior Automation QA with Java/ C#/ TypeScript/ Python,MentorMate
52,SENIOR PYTHON / JAVA FULLSTACK SOFTWARE ENGINEER,Schwarz IT Bulgaria
53,Junior Quantitative Developer,Commerzbank Digital Technology Center
54,SENIOR PYTHON DEVELOPER,Schwarz IT Bulgaria
55,Intern/junior front-end,Pytek
56,Junior Python Developer with Django,Strypes
57,Junior Python Developer,Accedia
58,Intern/Junior Python/Django Web Developer,Pytek
59,Junior Python Developer in QA,HedgeServ
60,Junior Python Developer,TelebidPro
61,Junior Python Developer,Strypes
62,Junior Machine Learning Engineer with Python,A1 Bulgaria
63,[IT] PYTHON BACKEND DEV | JUNIOR / MID,Human Power
64,Junior Data Modeller with Python,Experian
65,Senior Automation QA with Java/ C#/ TypeScript/ Python,MentorMate
66,SENIOR PYTHON / JAVA FULLSTACK SOFTWARE ENGINEER,Schwarz IT Bulgaria
67,Junior Quantitative Developer,Commerzbank Digital Technology Center
68,SENIOR PYTHON DEVELOPER,Schwarz IT Bulgaria
69,Intern/junior front-end,Pytek
70,Junior Python Developer with Django,Strypes
71,Junior Python Developer,Accedia
72,Intern/Junior Python/Django Web Developer,Pytek
73,Junior Python Developer in QA,HedgeServ
74,Junior Python Developer,TelebidPro
75,Junior Python Developer,Strypes
76,Junior Machine Learning Engineer with Python,A1 Bulgaria
77,[IT] PYTHON BACKEND DEV | JUNIOR / MID,Human Power
78,Junior Data Modeller with Python,Experian
79,Senior Automation QA with Java/ C#/ TypeScript/ Python,MentorMate
80,SENIOR PYTHON / JAVA FULLSTACK SOFTWARE ENGINEER,Schwarz IT Bulgaria
81,Junior Quantitative Developer,Commerzbank Digital Technology Center
82,SENIOR PYTHON DEVELOPER,Schwarz IT Bulgaria
83,Intern/junior front-end,Pytek
